,type,quant,frontness,comple,n1,n2,n3,n4,n5,n6,n7,n8,n9
0,dependency,every,front,and,0.453,0.227,0.196,0.471,0.241,0.289,0.205,0.125,0.108
1,dependency,every,front,or,0.445,0.25,0.19,0.465,0.251,0.283,0.2,0.139,0.105
2,dependency,less than 5,front,and,1.523,0.323,0.333,0.627,0.162,0.211,0.383,0.1,0.105
3,dependency,less than 5,front,or,1.495,0.362,0.328,0.617,0.174,0.21,0.374,0.114,0.103
4,dependency,more than 5,front,and,1.51,0.323,0.356,0.62,0.159,0.222,0.423,0.111,0.134
5,dependency,more than 5,front,or,1.483,0.361,0.351,0.608,0.171,0.22,0.414,0.126,0.131
6,dependency,every,back,and,0.106,0.141,0.203,0.264,0.25,0.486,0.194,0.247,0.473
7,dependency,less than 5,back,and,0.101,0.115,0.354,0.192,0.164,0.644,0.335,0.369,1.469
8,dependency,more than 5,back,and,0.137,0.122,0.389,0.209,0.16,0.63,0.376,0.364,1.459
9,dependency,no,back,and,0.128,0.145,0.203,0.269,0.241,0.49,0.215,0.249,0.464
10,dependency,every,back,or,0.104,0.154,0.197,0.262,0.257,0.48,0.193,0.269,0.462
11,dependency,less than 5,back,or,0.101,0.127,0.345,0.191,0.171,0.638,0.336,0.405,1.442
12,dependency,more than 5,back,or,0.136,0.138,0.379,0.208,0.17,0.622,0.376,0.403,1.431
13,dependency,no,back,or,0.126,0.16,0.198,0.266,0.251,0.483,0.212,0.275,0.453
14,dependency,no,front,and,0.431,0.23,0.208,0.474,0.233,0.292,0.201,0.133,0.13
15,dependency,no,front,or,0.423,0.257,0.201,0.468,0.245,0.287,0.197,0.149,0.126
