,type,quant,frontness,comple,n1,n2,n3,n4,n5,n6,n7,n8,n9
0,dependency,every,front,and,0.461,0.202,0.199,0.202,0.095,0.125,0.213,0.099,0.111
1,dependency,every,front,or,0.456,0.218,0.195,0.203,0.102,0.124,0.21,0.107,0.11
2,dependency,less than 5,front,and,1.535,0.293,0.337,0.345,0.078,0.111,0.391,0.08,0.107
3,dependency,less than 5,front,or,1.515,0.317,0.333,0.344,0.084,0.113,0.386,0.086,0.106
4,dependency,more than 5,front,and,1.521,0.297,0.359,0.337,0.078,0.116,0.431,0.09,0.137
5,dependency,more than 5,front,or,1.502,0.323,0.356,0.334,0.085,0.118,0.426,0.098,0.135
6,dependency,every,back,and,0.107,0.119,0.21,0.101,0.098,0.219,0.198,0.197,0.485
7,dependency,less than 5,back,and,0.103,0.095,0.362,0.089,0.077,0.35,0.341,0.294,1.496
8,dependency,more than 5,back,and,0.138,0.105,0.397,0.098,0.078,0.339,0.382,0.299,1.484
9,dependency,no,back,and,0.131,0.121,0.209,0.109,0.096,0.216,0.22,0.196,0.476
10,dependency,every,back,or,0.106,0.128,0.205,0.101,0.104,0.216,0.198,0.211,0.478
11,dependency,less than 5,back,or,0.103,0.104,0.356,0.09,0.082,0.349,0.343,0.314,1.479
12,dependency,more than 5,back,or,0.138,0.115,0.39,0.099,0.084,0.336,0.383,0.32,1.467
13,dependency,no,back,or,0.129,0.131,0.205,0.11,0.104,0.213,0.219,0.213,0.469
14,dependency,no,front,and,0.439,0.201,0.212,0.198,0.095,0.133,0.208,0.104,0.134
15,dependency,no,front,or,0.435,0.219,0.207,0.199,0.103,0.132,0.207,0.112,0.132
